instructor_id,instructor_name,courses,course_count,term,notes
I001,Miller,CSE 401,1,Spring 2027,
I002,Johnson,CSE 251; CSE 301,2,Spring 2027,
I003,Davis,CSE 418,1,Spring 2027,
I004,Wilson,CSE 301,1,Spring 2027,
I005,Taylor,CSE 478,1,Spring 2027,
I006,Anderson,CSE 277,1,Spring 2027,
I007,Thomas,CSE 277,1,Spring 2027,
I008,Jackson,CSE 401,1,Spring 2027,
I009,White,CSE 151,1,Spring 2027,
I010,Harris,CSE 211,1,Spring 2027,
I011,Martin,CSE 480,1,Spring 2027,
I012,Thompson,CSE 141,1,Spring 2027,
I013,Garcia,CSE 378,1,Spring 2027,
I014,Martinez,CSE 261,1,Spring 2027,
I015,Robinson,CSE 151,1,Spring 2027,
I016,Clark,CSE 426,1,Spring 2027,
I017,Rodriguez,CSE 342,1,Spring 2027,
I018,Lewis,CSE 474,1,Spring 2027,
I019,Lee,CSE 361; CSE 362,2,Spring 2027,
I020,Walker,CSE 211,1,Spring 2027,
I021,Hall,CSE 341,1,Spring 2027,
I022,Allen,CSE 480,1,Spring 2027,
I023,Young,CSE 341,1,Spring 2027,
I024,King,CSE 361; CSE 362,2,Spring 2027,
I025,Wright,CSE 251; CSE 421,2,Spring 2027,
I026,Scott,CSE 421,1,Spring 2027,
I027,Green,CSE 418,1,Spring 2027,
